title,year,name,type,character,n
Closet Monster,2015,Buffy #1,actor,Buffy 4,31
Suuri illusioni,1985,Homo $,actor,Guests,22
Battle of the Sexes,2017,$hutter,actor,Bobby Riggs Fan,10
Secret in Their Eyes,2015,$hutter,actor,2002 Dodger Fan,
Steve Jobs,2015,$hutter,actor,1988 Opera House Patron,
Straight Outta Compton,2015,$hutter,actor,Club Patron,
Straight Outta Compton,2015,$hutter,actor,Dopeman,
For Thy Love 2,2009,Bee Moe $lim,actor,Thug 1,
"Lapis, Ballpen at Diploma, a True to Life Journey",2014,Jori ' Danilo' Jurado Jr.,actor,Jaime (young),9
Desire (III),2014,Syaiful 'Ariffin,actor,Actor Playing Eteocles from 'Antigone',
When the Man Went South,2014,Taipaleti 'Atu'ake,actor,Two Palms - Ua'i Paame,8
Little Angel (Angelita),2015,Michael 'babeepower' Viera,actor,Chico,9
Mixing Nia,1998,Michael 'babeepower' Viera,actor,Rapper,
The Replacements,2000,Steven 'Bear'Boyd,actor,Defensive Tackle - Washington Sentinels,
All Out Dysfunktion!,2016,Kirlew 'bliss' Vilbon,actor,Bliss,
Gook,2017,Kirlew 'bliss' Vilbon,actor,Bliss,
My Song for You,2010,George 'Bootsy' Thomas,actor,Cooley's Customer,16
My Song for You,2010,George 'Bootsy' Thomas,actor,Celebration Guest,16
Hustle Beach,2017,Pete 'Boretta' Torres,actor,Tony,
Mariano Mison... NBI,1997,Joseph 'Byron' Sese,actor,Putik's Son,31
Natas es Satan,1977,Ramon 'Cartucho' Pena,actor,Nigth Club Owner,
Todo x Sara,2014,Gil 'Colibri'Viera,actor,Llavero,
Barrio Gangsters,2009,Marcelino 'Dibujo' Torres,actor,Dibujo,
"Cornmeal, Gunpowder, Ham Hocks and Guitar Strings",2015,Donnie 'Dicky' Clemson,actor,Jeb Kinney,
The LXD: The Secrets of the Ra,2011,Dondraico 'Draico' Johnson,actor,Umbra,
Pelotazo nacional,1993,F?lix 'El Gato',actor,Rebolledo,12
Los tarantos,1963,'El Guisa',actor,Bailaor,25
De la calle,2001,Luis 'El Plojo',actor,Froil?n plaza del estudiante,80
Los tarantos,1963,'El Viti',actor,Cantaor,20
They Want Dick Dickster,2015,Zhavier' (II) 'Fox,actor,Dr. Shrinkalotsky,25
Mahogany Sunrise,2014,Gilberto 'Ghetto Bird' Bahena,actor,Jesse,21
Wakolda,2013,Marcelo 'Hos' Bearzi,actor,Due?o de la hoster?a,19
Killing Device,1993,Van 'Igor' Morrison,actor,Jeep Driver,51
Troop 491: the Adventures of the Muddy Lions,2013,Ellias 'Illy' Liban,actor,Big Gook,
Heron's Story,2008,David 'Jumbles' Cook,actor,Man at Bar 3,
Been Down So Long It Looks Like Up to Me,1971,Murray the 'K',actor,Himself,
I Wanna Hold Your Hand,1978,Murray the 'K',actor,Himself,48
That's the Way of the World,1975,Murray the 'K',actor,Big John Little,22
Violencia urbana,1996,N?stor 'Kick Boxer',actor,Monta?a,21
Nothing Like the Holidays,2008,Johnny 'Koolout' Starks,actor,Alexis' Thug,35
Ransum Games,2014,Johnny 'Koolout' Starks,actor,Henchman #3,6
Subtle Seduction,2008,Johnny 'Koolout' Starks,actor,Officer Ward,9
The Godfather of Green Bay,2005,Johnny 'Koolout' Starks,actor,Marcus,18
